0.000127,0.461,105200,0.86,0.9,2,0.434,-11.483,1,0.0572,127.982,4,0.493,14
0.0282,0,33310,0.524,0,11,0.658,-11.89,0,0,0,0,0,13
0.115,0.774,163835,0.54,0,2,0.79,-9.954,0,0.16,129.918,4,0.541,38
0.993,0.318,523227,0.0749,0.871,6,0.0873,-24.19,1,0.0353,88.744,3,0.0753,13
0.99,0.412,563880,0.126,0.91,1,0.0989,-21.512,1,0.0437,137.818,3,0.139,12
0.988,0.248,508267,0.14,0.898,7,0.114,-22.956,0,0.0452,74.366,4,0.0743,13
0.985,0.184,156613,0.0697,0.846,8,0.12,-26.376,1,0.0344,88.595,4,0.0607,13
0.987,0.535,69813,0.238,0.883,6,0.136,-22.099,1,0.0508,101.77,4,0.715,10
0.315,0.842,121555,0.653,0,9,0.104,-8.046,0,0.135,156.006,4,0.844,41
0.000254,0.523,196343,0.665,0.011,4,0.11,-5.686,1,0.0667,168.085,4,0.386,34
0.212,0.778,57391,0.458,0.589,10,0.0878,-13.004,0,0.0857,91.981,4,0.171,13
0.166,0.748,146308,0.637,0.0036,2,0.321,-7.113,1,0.0626,104.995,4,0.671,20
0.00888,0.572,184240,0.939,0,4,0.287,-3.415,0,0.106,106.041,4,0.591,23
0.0441,0.412,184750,0.618,0.294,6,0.191,-7.049,1,0.0286,180.007,4,0.139,23
0.873,0.71,44716,0.392,0.000456,0,0.0895,-7.129,1,0.481,90.71,4,0.943,11
0.00182,0.524,227027,0.2,0.944,0,0.0758,-26.135,1,0.0496,148.03,4,0.176,22
0.0236,0.944,183273,0.752,0.00126,11,0.115,-6.556,1,0.0775,110.062,4,0.295,30
0.00162,0.779,180000,0.859,0.0152,5,0.225,-3.977,1,0.0661,120.023,4,0.559,29
0.371,0.606,127409,0.592,0.898,0,0.111,-10.803,1,0.0375,122.735,4,0.839,15
0.157,0.789,374840,0.976,0.804,0,0.039,-11.106,1,0.0598,134.896,4,0.676,9
0.786,0.524,176135,0.307,0,9,0.111,-9.753,1,0.0465,153.157,4,0.408,57
0.729,0.459,202406,0.501,0,10,0.159,-5.748,1,0.0317,71.929,4,0.41,6
0.0155,0.747,127241,0.495,0.142,4,0.155,-10.975,0,0.0452,122.929,4,0.825,15
